nivel,episod,recompensa,pasi,succes,epsilon
1,2482,55.35000000000015,83,0,0.08347218403490854
1,2483,303.99999999999955,150,1,0.08338871185087363
1,2484,303.84999999999957,153,1,0.08330532313902275
1,2485,124.99999999999982,160,0,0.08322201781588373
1,2486,131.14999999999975,157,0,0.08313879579806785
1,2487,56.90000000000015,82,0,0.08305565700226979
1,2488,303.8999999999995,152,1,0.08297260134526752
1,2489,56.950000000000145,81,0,0.08288962874392225
1,2490,303.6999999999995,156,1,0.08280673911517833
1,2491,303.4999999999995,160,1,0.08272393237606315
1,2492,303.79999999999956,154,1,0.0826412084436871
1,2493,58.450000000000145,81,0,0.08255856723524341
1,2494,56.90000000000015,82,0,0.08247600866800817
1,2495,303.79999999999956,154,1,0.08239353265934016
1,2496,53.950000000000145,81,0,0.08231113912668082
1,2497,58.450000000000145,81,0,0.08222882798755414
1,2498,303.8499999999995,153,1,0.08214659915956658
1,2499,303.79999999999956,154,1,0.08206445256040702
1,2500,303.8999999999995,152,1,0.08198238810784661
1,2501,303.94999999999953,151,1,0.08190040571973876
1,2502,303.5499999999995,159,1,0.08181850531401902
1,2503,58.450000000000145,81,0,0.081736686808705
1,2504,303.74999999999955,155,1,0.08165495012189629
1,2505,303.7499999999995,155,1,0.08157329517177439
1,2506,303.8499999999995,153,1,0.08149172187660261
1,2507,305.49999999999955,150,1,0.08141023015472601
1,2508,125.09999999999978,158,0,0.08132881992457128
1,2509,303.94999999999953,151,1,0.0812474911046467
1,2510,46.40000000000015,82,0,0.08116624361354205
1,2511,44.85000000000015,83,0,0.08108507736992851
1,2512,305.3999999999996,152,1,0.08100399229255859
1,2513,303.79999999999956,154,1,0.08092298830026602
1,2514,303.6999999999995,156,1,0.08084206531196575
1,2515,303.8999999999996,152,1,0.08076122324665379
1,2516,58.250000000000156,85,0,0.08068046202340713
1,2517,58.35000000000015,83,0,0.08059978156138373
1,2518,58.40000000000015,82,0,0.08051918177982234
1,2519,58.450000000000145,81,0,0.08043866259804251
1,2520,303.94999999999953,151,1,0.08035822393544446
1,2521,303.99999999999955,150,1,0.08027786571150902
1,2522,303.8999999999995,152,1,0.08019758784579752
1,2523,55.450000000000145,81,0,0.08011739025795171
1,2524,305.44999999999953,151,1,0.08003727286769376
1,2525,56.85000000000015,83,0,0.07995723559482606
1,2526,122.14999999999979,157,0,0.07987727835923124
1,2527,58.450000000000145,81,0,0.07979740108087201
1,2528,303.8499999999995,153,1,0.07971760367979114
1,2529,53.95000000000013,81,0,0.07963788607611134
1,2530,303.8499999999995,153,1,0.07955824819003524
1,2531,135.69999999999976,156,0,0.0794786899418452
1,2532,58.20000000000016,86,0,0.07939921125190336
1,2533,56.850000000000136,83,0,0.07931981204065146
1,2534,303.94999999999953,151,1,0.0792404922286108
1,2535,303.9999999999996,150,1,0.0791612517363822
1,2536,56.85000000000015,83,0,0.07908209048464582
1,2537,303.94999999999953,151,1,0.07900300839416118
1,2538,303.6999999999996,156,1,0.07892400538576702
1,2539,303.99999999999955,150,1,0.07884508138038125
1,2540,303.99999999999955,150,1,0.07876623629900087
1,2541,303.74999999999955,155,1,0.07868747006270187
1,2542,303.99999999999955,150,1,0.07860878259263916
1,2543,303.99999999999955,150,1,0.07853017381004652
1,2544,303.79999999999956,154,1,0.07845164363623648
1,2545,128.29999999999978,154,0,0.07837319199260025
1,2546,305.3999999999996,152,1,0.07829481880060765
1,2547,303.99999999999955,150,1,0.07821652398180705
1,2548,303.8499999999995,153,1,0.07813830745782524
1,2549,305.44999999999953,151,1,0.07806016915036741
1,2550,303.8999999999995,152,1,0.07798210898121705
1,2551,303.8999999999995,152,1,0.07790412687223583
1,2552,52.30000000000015,84,0,0.07782622274536359
1,2553,55.450000000000145,81,0,0.07774839652261822
1,2554,303.8499999999995,153,1,0.0776706481260956
1,2555,304.04999999999956,149,1,0.0775929774779695
1,2556,303.8999999999995,152,1,0.07751538450049153
1,2557,303.8499999999995,153,1,0.07743786911599104
1,2558,303.74999999999955,155,1,0.07736043124687506
1,2559,303.8999999999995,152,1,0.07728307081562819
1,2560,305.49999999999955,150,1,0.07720578774481256
1,2561,49.450000000000145,81,0,0.07712858195706775
1,2562,303.8499999999995,153,1,0.07705145337511068
1,2563,305.44999999999953,151,1,0.07697440192173557
