episod,recompensa,pasi,succes,epsilon
255,33.00000000000031,170,0,0.7748176364970056
256,51.10000000000035,198,0,0.7740428188605086
257,42.50000000000027,160,0,0.7732687760416481
258,38.000000000000256,160,0,0.7724955072656065
259,42.40000000000033,162,0,0.7717230117583408
260,37.45000000000037,171,0,0.7709512887465825
261,45.40000000000022,162,0,0.7701803374578359
262,37.75000000000027,165,0,0.7694101571203781
263,50.750000000000384,205,0,0.7686407469632577
264,43.45000000000036,201,0,0.7678721062162944
265,51.25000000000034,195,0,0.7671042341100781
266,34.75000000000027,195,0,0.766337129875968
267,33.60000000000029,158,0,0.7655707927460921
268,34.95000000000026,131,0,0.764805221953346
269,110.94999999999975,351,0,0.7640404167313927
270,32.15000000000023,187,0,0.7632763763146613
271,31.05000000000031,209,0,0.7625130999383466
272,47.75000000000048,235,0,0.7617505868384082
273,41.00000000000027,160,0,0.7609888362515699
274,53.050000000000196,159,0,0.7602278474153183
275,43.600000000000335,198,0,0.759467619567903
276,53.000000000000256,160,0,0.7587081519483351
277,31.25000000000037,205,0,0.7579494437963867
278,38.650000000000375,207,0,0.7571914943525904
279,132.09999999999968,288,0,0.7564343028582378
280,32.450000000000244,181,0,0.7556778685553796
281,40.30000000000028,174,0,0.7549221906868242
282,49.70000000000036,196,0,0.7541672684961374
283,33.80000000000028,154,0,0.7534131012276413
284,44.20000000000026,156,0,0.7526596881264136
285,36.30000000000034,194,0,0.7519070284382872
286,34.000000000000284,150,0,0.7511551214098489
287,50.15000000000029,157,0,0.750403966288439
288,120.59999999999935,308,0,0.7496535623221505
289,47.05000000000024,159,0,0.7489039087598284
290,33.15000000000023,167,0,0.7481550048510686
291,37.90000000000025,162,0,0.7474068498462175
292,33.400000000000205,162,0,0.7466594429963713
293,37.000000000000185,120,0,0.745912783553375
294,109.95,311,0,0.7451668707698216
295,45.55000000000021,159,0,0.7444217038990517
296,32.25000000000027,185,0,0.7436772821951526
297,35.50000000000021,120,0,0.7429336049129575
298,52.400000000000404,202,0,0.7421906713080445
299,34.80000000000024,134,0,0.7414484806367364
300,45.450000000000216,161,0,0.7407070321560997
301,115.74999999999973,315,0,0.7399663251239436
302,49.850000000000264,163,0,0.7392263587988196
303,42.20000000000033,166,0,0.7384871324400207
304,41.750000000000426,205,0,0.7377486453075807
305,52.70000000000037,196,0,0.737010896662273
306,41.90000000000029,202,0,0.7362738857656108
307,41.15000000000026,157,0,0.7355376118798452
308,39.10000000000032,168,0,0.7348020742679654
309,40.55000000000031,169,0,0.7340672721936974
310,42.15000000000032,197,0,0.7333332049215037
311,119.24999999999942,275,0,0.7325998717165821
312,129.89999999999975,302,0,0.7318672718448656
313,38.90000000000035,202,0,0.7311354045730207
314,43.55000000000027,169,0,0.7304042691684477
315,45.500000000000256,160,0,0.7296738648992792
316,42.35000000000028,163,0,0.7289441910343799
317,34.7000000000002,166,0,0.7282152468433455
318,39.95000000000016,121,0,0.7274870315965022
319,44.05000000000025,159,0,0.7267595445649057
320,51.200000000000315,196,0,0.7260327850203407
321,49.100000000000364,238,0,0.7253067522353204
