episod,recompensa,pasi,succes
220,39.10000000000062,318,0
221,40.30000000000037,234,0
222,31.350000000000392,233,0
223,24.60000000000042,338,0
224,30.70000000000043,276,0
225,43.15000000000053,387,0
226,29.650000000000844,447,0
227,31.00000000000084,390,0
228,25.200000000000387,386,0
229,30.150000000000404,317,0
230,39.000000000000426,290,0
231,41.80000000000034,204,0
232,35.950000000000415,321,0
233,25.150000000000503,387,0
234,39.40000000000056,312,0
235,28.100000000000193,268,0
236,30.600000000000435,308,0
237,30.050000000000267,229,0
238,24.7000000000004,426,0
239,35.75000000000041,235,0
240,37.25000000000058,325,0
241,26.950000000000415,291,0
242,28.90000000000049,282,0
243,19.50000000000054,440,0
244,31.00000000000051,360,0
245,24.750000000000483,425,0
246,36.25000000000041,315,0
247,35.80000000000035,234,0
248,27.500000000000284,280,0
249,28.10000000000035,268,0
250,39.7500000000005,275,0
251,26.400000000000304,302,0
252,35.05000000000051,279,0
253,20.25000000000054,425,0
254,24.25000000000091,465,0
255,31.45000000000026,321,0
256,32.400000000000546,362,0
257,38.45000000000057,271,0
258,24.450000000000742,461,0
259,33.050000000000566,349,0
260,30.90000000000056,272,0
261,38.100000000000364,428,0
262,34.650000000000546,347,0
263,29.450000000000514,361,0
264,36.50000000000051,280,0
265,33.55000000000034,279,0
266,20.450000000000813,631,0
267,38.00000000000061,280,0
268,35.000000000000526,310,0
269,27.0000000000003,290,0
270,30.450000000000287,311,0
271,31.200000000000387,326,0
272,29.500000000000583,390,0
273,34.80000000000069,434,0
274,28.80000000000051,314,0
275,30.650000000000247,307,0
276,48.20000000000027,196,0
277,15.250000000000298,525,0
278,34.65000000000042,287,0
279,25.900000000000333,312,0
280,32.75000000000034,235,0
281,27.150000000000432,287,0
282,28.850000000000307,253,0
283,26.600000000000165,298,0
284,24.10000000000079,498,0
285,34.150000000000716,357,0
286,24.950000000000514,391,0
287,27.800000000000296,394,0
288,28.50000000000047,260,0
289,25.55000000000055,439,0
290,33.30000000000028,194,0
291,42.700000000000415,366,0
292,41.35000000000048,393,0
293,39.700000000000344,276,0
294,28.70000000000033,256,0
295,33.4500000000004,461,0
296,42.45000000000043,311,0
297,26.000000000000185,310,0
298,45.30000000000061,314,0
299,26.100000000000634,338,0
300,23.85000000000079,443,0
301,34.45000000000037,351,0
302,27.50000000000054,400,0
303,33.50000000000041,310,0
304,36.60000000000032,278,0
305,43.65000000000046,317,0
306,30.80000000000021,214,0
307,27.250000000000753,345,0
308,26.050000000000296,399,0
309,27.25000000000051,285,0
310,40.80000000000064,314,0
311,37.70000000000054,346,0
312,25.2000000000004,326,0
313,33.40000000000059,312,0
314,26.10000000000025,308,0
315,24.950000000000372,331,0
316,31.85000000000035,283,0
317,39.55000000000048,279,0
318,28.800000000000338,284,0
319,41.70000000000071,386,0
320,34.20000000000037,356,0
321,26.60000000000076,388,0
322,29.350000000000435,393,0
323,31.600000000000477,348,0
324,34.80000000000058,344,0
325,25.200000000000585,386,0
326,22.15000000000049,387,0
327,20.450000000000884,451,0
328,30.400000000000333,282,0
329,36.750000000000355,275,0
330,26.10000000000028,428,0
331,38.050000000000736,429,0
332,26.750000000000597,295,0
333,28.650000000000375,437,0
334,31.65000000000029,317,0
335,40.800000000000466,314,0
336,24.85000000000032,393,0
337,41.2500000000005,275,0
338,32.45000000000047,271,0
339,26.10000000000028,308,0
340,22.950000000000543,371,0
341,17.950000000000173,471,0
342,25.85000000000049,403,0
343,25.200000000000514,326,0
344,30.100000000000364,228,0
345,41.70000000000067,326,0
346,31.500000000000426,290,0
347,36.50000000000051,310,0
348,28.80000000000051,314,0
349,24.50000000000061,460,0
350,47.10000000000049,278,0
351,25.45000000000043,351,0
352,41.50000000000044,390,0
353,26.10000000000049,308,0
354,36.150000000000446,287,0
355,36.70000000000047,366,0
356,29.050000000000438,249,0
357,42.35000000000046,313,0
358,22.500000000000355,380,0
359,30.65000000000029,277,0
360,32.40000000000043,272,0
361,39.000000000000384,230,0
362,41.80000000000044,354,0
363,27.65000000000053,427,0
364,27.05000000000061,349,0
365,26.90000000000022,292,0
366,29.450000000000628,361,0
367,108.40000000000016,582,0
368,32.35000000000042,273,0
369,26.700000000000458,386,0
370,30.65000000000063,307,0
371,39.100000000000406,318,0
372,36.00000000000027,320,0
373,28.500000000000554,350,0
374,35.150000000000546,367,0
375,22.650000000000503,377,0
376,32.80000000000058,324,0
377,28.60000000000052,378,0
378,31.65000000000049,347,0
379,41.25000000000044,275,0
380,30.750000000000455,275,0
381,39.55000000000054,309,0
382,27.40000000000046,312,0
383,45.9000000000005,272,0
384,27.800000000000267,484,0
385,37.10000000000052,298,0
386,36.50000000000057,310,0
387,29.050000000000438,249,0
388,27.650000000000247,277,0
389,27.200000000000173,286,0
390,28.800000000000537,314,0
391,25.750000000000526,315,0
392,30.550000000000225,219,0
393,27.60000000000035,308,0
394,37.150000000000475,357,0
395,37.100000000000676,358,0
396,30.450000000000415,311,0
397,45.10000000000052,318,0
398,32.65000000000033,237,0
399,33.900000000000475,272,0
400,44.60000000000046,238,0
401,33.90000000000029,242,0
402,30.550000000000352,219,0
403,27.30000000000048,314,0
404,36.10000000000056,318,0
405,30.600000000000378,308,0
406,29.00000000000037,310,0
407,33.650000000000404,277,0
408,38.90000000000043,352,0
409,36.30000000000058,314,0
410,38.35000000000046,273,0
411,29.60000000000042,328,0
412,41.050000000000296,279,0
413,29.150000000000304,247,0
414,32.20000000000037,336,0
